"ID_Ventas","fecha","temporada","sexo","retailer","region","estado","ciudad","metodo de venta","producto","precio por unidad","unidades vendidas","ventas totales","ganancia","margen operativo"
"FC-000000001","2020-01-01 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","In-store","Calzado Urbano","50","1200","600000","300000","0.5"
"FC-000000002","2020-01-02 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","In-store","Calzado Deportivo","50","1000","500000","150000","0.3"
"FC-000000003","2020-01-03 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","In-store","Calzado Urbano","40","1000","400000","140000","0.35"
"FC-000000004","2020-01-04 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","In-store","Calzado Deportivo","45","850","382500","133875","0.35"
"FC-000000005","2020-01-05 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","In-store","Indumentaria","60","900","540000","162000","0.3"
"FC-000000006","2020-01-06 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","In-store","Indumentaria","50","1000","500000","125000","0.25"
"FC-000000007","2020-01-07 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","In-store","Calzado Urbano","50","1250","625000","312500","0.5"
"FC-000000008","2020-01-08 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","50","900","450000","135000","0.3"
"FC-000000009","2020-01-21 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","40","950","380000","133000","0.35"
"FC-000000010","2020-01-22 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","45","825","371250","129937.5","0.35"
"FC-000000011","2020-01-23 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","60","900","540000","162000","0.3"
"FC-000000012","2020-01-24 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","50","1000","500000","125000","0.25"
"FC-000000013","2020-01-25 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","50","1220","610000","305000","0.5"
"FC-000000014","2020-01-26 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","50","925","462500","138750","0.3"
"FC-000000015","2020-01-27 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","40","950","380000","133000","0.35"
"FC-000000016","2020-01-28 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","45","800","360000","126000","0.35"
"FC-000000017","2020-01-29 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","60","850","510000","153000","0.3"
"FC-000000018","2020-01-30 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","50","950","475000","118750","0.25"
"FC-000000019","2020-01-31 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","50","1200","600000","300000","0.5"
"FC-000000020","2020-02-01 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","50","900","450000","135000","0.3"
"FC-000000021","2020-02-02 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","40","900","360000","126000","0.35"
"FC-000000022","2020-02-03 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","45","825","371250","129937.5","0.35"
"FC-000000023","2020-02-04 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","60","825","495000","148500","0.3"
"FC-000000024","2020-02-05 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","50","950","475000","118750","0.25"
"FC-000000025","2020-02-06 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","60","1220","732000","366000","0.5"
"FC-000000026","2020-02-07 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","55","925","508750","152625","0.3"
"FC-000000027","2020-02-08 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","50","900","450000","157500","0.35"
"FC-000000028","2020-02-09 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","50","850","425000","148750","0.35"
"FC-000000029","2020-02-10 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","60","875","525000","157500","0.3"
"FC-000000030","2020-03-03 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","65","1000","650000","162500","0.25"
"FC-000000031","2020-03-04 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","60","1250","750000","375000","0.5"
"FC-000000032","2020-03-05 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","55","1000","550000","165000","0.3"
"FC-000000033","2020-03-06 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","50","925","462500","161875","0.35"
"FC-000000034","2020-03-07 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","50","900","450000","157500","0.35"
"FC-000000035","2020-03-08 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","60","900","540000","162000","0.3"
"FC-000000036","2020-03-09 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","65","1050","682500","170625","0.25"
"FC-000000037","2020-03-10 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","60","1275","765000","382500","0.5"
"FC-000000038","2020-03-11 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","55","1025","563750","169125","0.3"
"FC-000000039","2020-03-12 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","50","950","475000","166250","0.35"
"FC-000000040","2020-03-13 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","50","900","450000","157500","0.35"
"FC-000000041","2020-03-14 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","60","925","555000","166500","0.3"
"FC-000000042","2020-03-15 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Indumentaria","65","1100","715000","178750","0.25"
"FC-000000043","2020-03-16 00:00:00","Invierno","non-binary","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","60","1250","750000","375000","0.5"
"FC-000000044","2020-03-17 00:00:00","Invierno","female","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","55","1025","563750","169125","0.3"
"FC-000000045","2020-03-18 00:00:00","Invierno","male","Foot Locker","Northeast","New York","New York","Outlet","Calzado Urbano","50","950","475000","166250","0.35"
"FC-000000046","2020-03-31 00:00:00","Primavera","male","Foot Locker","Northeast","New York","New York","Outlet","Calzado Deportivo","50","925","462500","161875","0.35"
"FC-000000047","2020-04-17 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Indumentaria","60","900","540000","162000","0.3"
"FC-000000048","2020-04-18 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Indumentaria","65","1075","698750","174687.5","0.25"
"FC-000000049","2020-04-19 00:00:00","Primavera","female","Walmart","Northeast","New York","New York","Outlet","Calzado Urbano","60","1200","720000","360000","0.5"
"FC-000000050","2020-04-20 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Calzado Deportivo","55","1000","550000","165000","0.3"
"FC-000000051","2020-04-21 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Calzado Urbano","50","925","462500","161875","0.35"
"FC-000000052","2020-04-22 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Calzado Deportivo","50","900","450000","157500","0.35"
"FC-000000053","2020-04-23 00:00:00","Primavera","non-binary","Walmart","Northeast","New York","New York","Outlet","Indumentaria","60","900","540000","162000","0.3"
"FC-000000054","2020-04-24 00:00:00","Primavera","female","Walmart","Northeast","New York","New York","Outlet","Indumentaria","65","1000","650000","162500","0.25"
"FC-000000055","2020-04-25 00:00:00","Primavera","female","Walmart","Northeast","New York","New York","Outlet","Indumentaria","65","875","568750","170625","0.3"
"FC-000000056","2020-04-26 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Indumentaria","70","1000","700000","175000","0.25"
"FC-000000057","2020-04-27 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Calzado Urbano","65","1150","747500","373750","0.5"
"FC-000000058","2020-04-28 00:00:00","Primavera","non-binary","Walmart","Northeast","New York","New York","Outlet","Calzado Deportivo","55","975","536250","160875","0.3"
"FC-000000059","2020-04-29 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Calzado Urbano","55","920","506000","177100","0.35"
"FC-000000060","2020-04-30 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Calzado Deportivo","55","900","495000","173250","0.35"
"FC-000000061","2020-05-01 00:00:00","Primavera","non-binary","Walmart","Northeast","New York","New York","Outlet","Indumentaria","65","875","568750","170625","0.3"
"FC-000000062","2020-05-02 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Indumentaria","70","975","682500","170625","0.25"
"FC-000000063","2020-05-03 00:00:00","Primavera","non-binary","Walmart","Northeast","New York","New York","Outlet","Calzado Urbano","65","1200","780000","390000","0.5"
"FC-000000064","2020-05-04 00:00:00","Primavera","male","Walmart","Northeast","New York","New York","Outlet","Calzado Deportivo","55","1000","550000","165000","0.3"
"FC-000000065","2020-05-05 00:00:00","Primavera","non-binary","Walmart","Northeast","New York","New York","Outlet","Calzado Urbano","55","950","522500","182875","0.35"
"FC-000000066","2020-05-06 00:00:00","Primavera","female","Walmart","Northeast","New York","New York","Outlet","Calzado Deportivo","55","900","495000","173250","0.35"
"FC-000000067","2020-05-07 00:00:00","Primavera","female","Walmart","Northeast","New York","New York","Outlet","Indumentaria","65","900","585000","175500","0.3"
"FC-000000068","2020-07-18 00:00:00","Verano","female","Walmart","Northeast","New York","New York","Outlet","Indumentaria","70","1000","700000","175000","0.25"
"FC-000000069","2020-07-19 00:00:00","Verano","non-binary","Sports Direct","Northeast","New York","New York","Outlet","Calzado Urbano","25","900","225000","78750","0.35"
