ID_Ventas,fecha,temporada,sexo,retailer,region,estado,ciudad,metodo de venta,producto,precio por unidad,unidades vendidas,ventas totales,ganancia,margen operativo
FC-000000001,2020-01-01,Invierno,male,Foot Locker,Northeast,New York,New York,In-store,Calzado Urbano,50.0,1200,60000.0,30000.0,0.5
FC-000000002,2020-01-02,Invierno,male,Foot Locker,Northeast,New York,New York,In-store,Calzado Deportivo,50.0,1000,50000.0,15000.0,0.3
FC-000000003,2020-01-03,Invierno,non-binary,Foot Locker,Northeast,New York,New York,In-store,Calzado Urbano,40.0,1000,40000.0,14000.0,0.35
FC-000000004,2020-01-04,Invierno,female,Foot Locker,Northeast,New York,New York,In-store,Calzado Deportivo,45.0,850,38250.0,13387.5,0.35
FC-000000005,2020-01-05,Invierno,male,Foot Locker,Northeast,New York,New York,In-store,Indumentaria,60.0,900,54000.0,16200.0,0.3
FC-000000006,2020-01-06,Invierno,female,Foot Locker,Northeast,New York,New York,In-store,Indumentaria,50.0,1000,50000.0,12500.0,0.25
FC-000000007,2020-01-07,Invierno,female,Foot Locker,Northeast,New York,New York,In-store,Calzado Urbano,50.0,1250,62500.0,31250.0,0.5
FC-000000008,2020-01-08,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,900,45000.0,13500.0,0.3
FC-000000009,2020-01-21,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,40.0,950,38000.0,13300.0,0.35
FC-000000010,2020-01-22,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,45.0,825,37125.0,12993.75,0.35
FC-000000011,2020-01-23,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,900,54000.0,16200.0,0.3
FC-000000012,2020-01-24,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,50.0,1000,50000.0,12500.0,0.25
FC-000000013,2020-01-25,Invierno,non-binary,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,1220,61000.0,30500.0,0.5
FC-000000014,2020-01-26,Invierno,non-binary,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,925,46250.0,13875.0,0.3
FC-000000015,2020-01-27,Invierno,male,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,40.0,950,38000.0,13300.0,0.35
FC-000000016,2020-01-28,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,45.0,800,36000.0,12600.0,0.35
FC-000000017,2020-01-29,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,850,51000.0,15300.0,0.3
FC-000000018,2020-01-30,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,50.0,950,47500.0,11875.0,0.25
FC-000000019,2020-01-31,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,1200,60000.0,30000.0,0.5
FC-000000020,2020-02-01,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,900,45000.0,13500.0,0.3
FC-000000021,2020-02-02,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,40.0,900,36000.0,12600.0,0.35
FC-000000022,2020-02-03,Invierno,male,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,45.0,825,37125.0,12993.75,0.35
FC-000000023,2020-02-04,Invierno,male,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,825,49500.0,14850.0,0.3
FC-000000024,2020-02-05,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,50.0,950,47500.0,11875.0,0.25
FC-000000025,2020-02-06,Invierno,female,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,60.0,1220,73200.0,36600.0,0.5
