id_ventas,fecha,id_cliente,id_retailer,id_region,id_estado,id_ciudad,id_metodo,id_producto,precio por unidad,unidades vendidas,ventas totales,ganancia,margen operativo
FC-000000001,2020-01-01,101,Foot Locker,Northeast,New York,New York,In-store,Calzado Urbano,50.0,1200,60000.0,30000.0,0.5
FC-000000002,2020-01-02,102,Foot Locker,Northeast,New York,New York,In-store,Calzado Deportivo,50.0,1000,50000.0,15000.0,0.3
FC-000000003,2020-01-03,103,Foot Locker,Northeast,New York,New York,In-store,Calzado Urbano,40.0,1000,40000.0,14000.0,0.35
FC-000000004,2020-01-04,104,Foot Locker,Northeast,New York,New York,In-store,Calzado Deportivo,45.0,850,38250.0,13387.5,0.35
FC-000000005,2020-01-05,105,Foot Locker,Northeast,New York,New York,In-store,Indumentaria,60.0,900,54000.0,16200.0,0.3
FC-000000006,2020-01-06,106,Foot Locker,Northeast,New York,New York,In-store,Indumentaria,50.0,1000,50000.0,12500.0,0.25
FC-000000007,2020-01-07,107,Foot Locker,Northeast,New York,New York,In-store,Calzado Urbano,50.0,1250,62500.0,31250.0,0.5
FC-000000008,2020-01-08,108,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,900,45000.0,13500.0,0.3
FC-000000009,2020-01-21,109,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,40.0,950,38000.0,13300.0,0.35
FC-000000010,2020-01-22,110,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,45.0,825,37125.0,12993.75,0.35
FC-000000011,2020-01-23,111,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,900,54000.0,16200.0,0.3
FC-000000012,2020-01-24,112,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,50.0,1000,50000.0,12500.0,0.25
FC-000000013,2020-01-25,113,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,1220,61000.0,30500.0,0.5
FC-000000014,2020-01-26,114,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,925,46250.0,13875.0,0.3
FC-000000015,2020-01-27,115,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,40.0,950,38000.0,13300.0,0.35
FC-000000016,2020-01-28,116,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,45.0,800,36000.0,12600.0,0.35
FC-000000017,2020-01-29,117,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,850,51000.0,15300.0,0.3
FC-000000018,2020-01-30,118,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,50.0,950,47500.0,11875.0,0.25
FC-000000019,2020-01-31,119,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,50.0,1200,60000.0,30000.0,0.5
FC-000000020,2020-02-01,120,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,50.0,900,45000.0,13500.0,0.3
FC-000000021,2020-02-02,121,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,40.0,900,36000.0,12600.0,0.35
FC-000000022,2020-02-03,122,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,45.0,825,37125.0,12993.75,0.35
FC-000000023,2020-02-04,123,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,60.0,825,49500.0,14850.0,0.3
FC-000000024,2020-02-05,124,Foot Locker,Northeast,New York,New York,Outlet,Indumentaria,50.0,950,47500.0,11875.0,0.25
FC-000000025,2020-02-06,125,Foot Locker,Northeast,New York,New York,Outlet,Calzado Urbano,60.0,1220,73200.0,36600.0,0.5
FC-000000026,2020-02-07,126,Foot Locker,Northeast,New York,New York,Outlet,Calzado Deportivo,55.00000000000001,925,50875.00000000001,15262.500000000002,0.3
